Planet Name,Host Name,Planet Letter,Default Parameter Set,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Solution Type,Planetary Parameter Reference,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Eccentricity,Equilibrium Temperature [K],Inclination [deg],Data show Transit Timing Variations,Stellar Parameter Reference,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],System Parameter Reference,RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc],V (Johnson) Magnitude,Ks (2MASS) Magnitude,Gaia Magnitude,Date of Last Update,Planetary Parameter Reference Publication Date,Release Date
ITG 15 b,ITG 15 A,b,1,2,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,6674.39655,Mass,,2601,,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h39m44.89s,69.9370379,+26d01m52.37s,26.0312128,136.3700000,,8.9500000,14.9979000,2024-05-08,2024-01,2024-05-08
K2-10 b,K2-10,b,1,1,1,Transit,2015,K2,Published Confirmed,<a refstr=VAN_EYLEN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...56V/abstract target=ref>Van Eylen et al. 2016</a>,19.30440000,3.840,27.00000,Mass,0.310000,,,0,<a refstr=VAN_EYLEN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...56V/abstract target=ref>Van Eylen et al. 2016</a>,,5620.00,0.98,0.92,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h28m29.20s,172.1216476,+01d41m26.24s,1.6906217,272.3600000,12.4290000,10.6450000,12.2156000,2016-02-10,2016-03,2016-02-11
K2-100 b,K2-100,b,1,1,1,Transit,2016,K2,Published Confirmed,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,1.67390350,3.880,21.80000,Mass,0.000000,1841,81.270,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,G0 V,5945.00,1.24,1.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m24.26s,129.6010863,+20d06m21.63s,20.1060074,188.9590000,10.6510000,9.1820000,10.4053000,2021-07-12,2019-11,2021-07-12
K2-101 b,K2-101,b,1,1,1,Transit,2016,K2,Published Confirmed,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,14.67624290,2.000,,,,618,,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,4927.00,0.76,0.82,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m22.54s,130.3439097,+18d56m01.75s,18.9338205,188.3300000,12.8920000,10.5360000,12.6619000,2021-09-20,2022-01,2021-09-20
K2-102 b,K2-102,b,1,1,1,Transit,2016,K2,Published Confirmed,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,9.91561500,1.300,,,0.100000,,89.000,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,,4695.00,0.71,0.77,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m13.41s,130.0558953,+19d46m43.51s,19.7787519,188.1750000,13.0830000,10.6400000,12.8466000,2016-12-20,2017-02,2016-12-21
K2-104 b,K2-104,b,1,1,1,Transit,2016,K2,Published Confirmed,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,1.97419540,1.790,,,,798,,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,3712.00,0.48,0.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m32.80s,129.6366594,+19d46m25.39s,19.7737202,189.2890000,15.9890000,12.0140000,15.3955000,2021-09-20,2022-01,2021-09-20
K2-105 b,K2-105,b,1,1,1,Transit,2017,K2,Published Confirmed,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,8.26699280,3.590,,,,928,,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5636.00,0.97,1.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.9890000,11.7520000,10.0910000,11.7124000,2021-09-20,2022-01,2021-09-20
K2-107 b,K2-107,b,1,1,1,Transit,2017,K2,Published Confirmed,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,3.31395900,15.980,,,,1649,,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,6061.00,1.81,1.30,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.2000000,13.0120000,11.2100000,12.7669000,2018-10-24,2018-12,2018-10-26
K2-108 b,K2-108,b,1,1,1,Transit,2017,K2,Published Confirmed,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,4.73399900,5.330,,,,1360,,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5599.00,1.76,1.17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.2950000,12.3390000,10.5610000,12.1704000,2018-10-24,2018-12,2018-10-26
K2-11 b,K2-11,b,1,1,1,Transit,2015,K2,Published Confirmed,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,39.93767000,7.550,,,,734,,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,5433.00,5.15,1.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m10.04s,169.0418328,+01d59m12.06s,1.9866832,329.3090000,13.4090000,11.3470000,13.1501000,2015-07-13,2015-08,2015-07-16
K2-110 b,K2-110,b,1,1,1,Transit,2017,K2,Published Confirmed,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,13.86375000,2.592,15.90000,Mass,0.130000,638,89.350,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5010.00,0.71,0.74,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h49m23.94s,207.3497402,-12d17m05.71s,-12.2849182,116.4740000,11.9850000,9.6070000,11.6627000,2023-04-17,2023-04,2023-04-17
K2-111 b,K2-111,b,1,1,2,Transit,2017,K2,Published Confirmed,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,5.35180000,1.820,5.58000,Mass,0.100000,1309,86.430,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5775.00,1.25,0.84,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m33.67s,59.8903081,+21d17m54.69s,21.2985263,200.3940000,11.1300000,9.3770000,10.9294000,2023-04-17,2023-04,2023-04-17
